点号,Y(东西),X(南北),Z(高程)
Z01,4267605.969,403114.695,1285.95179
Z02,4267620.786,403101.700,1283.07415
Z03,4267635.393,403088.915,1281.96445
Z04,4267651.063,403075.483,1281.86595
Z05,4267666.350,403062.490,1281.38578
Z06,4267681.984,403049.326,1284.90233
Z07,4267696.840,403036.762,1282.89277
Z08,4267711.982,403023.452,1281.62070
Z09,4267727.466,403010.089,1281.10781
Z10,4267742.556,402997.156,1280.29841
Z11,4267756.957,402984.613,1280.31280
Z12,4267772.306,402970.959,1279.72431
Z13,4267787.789,402958.177,1277.76868
Z14,4267803.269,402945.208,1277.33189
Z15,4267818.118,402932.022,1278.65045
Z16,4267833.457,402918.774,1281.38709
Z17,4267848.545,402906.117,1279.03493
Z18,4267863.666,402893.105,1277.79254
Z19,4267878.719,402880.149,1278.87540
Z20,4267894.786,402867.132,1277.14736
Z21,4267909.344,402853.654,1276.53675
Z22,4267924.865,402840.625,1276.41410
Z23,4267940.409,402828.126,1275.39968
Z24,4267955.979,402814.681,1276.16102
Z25,4267970.483,402802.290,1276.59895
Z26,4268000.559,402776.851,1273.88781
Z27,4268015.309,402763.553,1275.07104
Z28,4268030.493,402751.049,1275.32356
Z29,4268045.640,402737.458,1276.18616
Z30,4268060.838,402724.083,1276.67480
Z31,4268075.961,402710.896,1276.80320
Z32,4268090.964,402697.495,1276.58146
Z33,4268106.630,402684.773,1275.21300
Z34,4268121.483,402671.625,1276.46040
Z35,4268136.381,402658.810,1276.18154
Z36,4268150.913,402646.293,1275.52988
Z37,4268167.275,402631.643,1275.10506
Z38,4268182.316,402619.470,1275.07312
Z39,4268197.287,402606.855,1275.11431
Z40,4268212.812,402593.702,1274.86148
