测点名称    
J7point(N)

位置初始值(mm)
0.0338  
速度初始值(mm/d)
0       

观测噪声协方差(mm^2)  状态噪声协方差(mm^2)
3.404                   0.308   

状态模型    
常速度模型   

滤波方法    
抗差Kalman滤波

监测期号    原始坐标序列(mm)    滤波值(mm)    预测值(mm) 
760            7.439            6.9789         6.9349         
761            7.027            7.0235         7.067          
762            5.325            6.8056         7.1117         
763            5.362            6.6078         6.8511         
764            5.789            6.4887         6.6174         
765            7.129            6.5805         6.4781         
766            7.025            6.6496         6.5858         
767            7.456            6.7777         6.6657         
768            7.648            6.9238         6.8133         
769            7.338            7.0101         6.9803         
770            5.259            6.7747         7.076          
771            5.425            6.5811         6.7969         
772            6.173            6.515          6.57           
773            7.431            6.6439         6.494          
774            6.55             6.6305         6.6456         
775            7.971            6.8319         6.6299         
776            7.93             7.0108         6.8642         
777            7.176            7.0607         7.0696         
778            5.424            6.8408         7.1228         
779            5.141            6.5941         6.862          
780            6.085            6.5087         6.5734         
781            6.818            6.5413         6.4758         
782            7.349            6.6522         6.5164         
783            6.353            6.6052         6.6474         
784            7.52             6.7377         6.5931         
785            7.27             6.8222         6.7481         
786            5.068            6.5682         6.8456         
787            5.337            6.3745         6.5483         
788            6.198            6.3348         6.341          
789            8.863            6.5283         6.2102         
790            8.863            6.7854         6.5277         
791            7.472            6.9029         6.8132         
792            7.566            7.0239         6.9488         
793            5.759            6.8571         7.0857         
794            5.472            6.6591         6.8869         
795            5.51             6.483          6.6546         
796            6.635            6.4921         6.4504         
797            6.732            6.5163         6.4637         
798            7.727            6.6894         6.494          
799            7.009            6.7408         6.6971         
800            7.437            6.8522         6.7562         
801            7.006            6.889          6.8843         
802            5.776            6.7366         6.9245         
803            5.467            6.549          6.7445         
804            6.126            6.4754         6.5256         
805            7.532            6.6202         6.442          
806            7.126            6.6888         6.6175         
807            8.176            6.887          6.6915         
808            7.239            6.9504         6.9236         
809            7.541            7.0507         6.9945         
810            7.256            7.104          7.1078         
811            5.652            6.9242         7.1652         
812            5.776            6.7704         6.9503         
813            6.333            6.6201         6.756          
814            7.427            6.835          6.5986         
815            7.13             6.9092         6.8439         
816            7.213            6.9817         6.9274         
817            7.272            7.0497         7.0084         
818            6.749            7.0081         7.0838         
819            5.485            6.7523         7.0341         
820            5.591            6.5525         6.7406         
821            6.783            6.5735         6.5131         
822            7.613            6.7242         6.54           
823            7.602            6.8567         6.7161         
824            9.238            7.0684         6.8572         
825            7.803            7.1891         7.1129         
826            7.915            7.316          7.249          
827            7.17             7.3279         7.3915         
828            5.807            7.1422         7.3992         
829            5.623            6.9387         7.177          
830            7.171            6.9701         6.9376         
831            7.768            7.1521         6.9855         
832            7.243            7.1831         7.1832         
833            5.629            6.8966         7.2165         
834            5.43             6.622          6.8836         
835            7.629            6.7772         6.5682         
836            8.22             7.0119         6.7511         
837            7.617            7.1104         7.0192         
838            10.249           7.2376         7.1201         
839            8.001            7.3741         7.2825         
840            8.454            7.5652         7.4367         
841            7.564            7.6022         7.6529         
842            6.144            7.4192         7.6888         
843            6.564            7.3121         7.4697         
844            7.979            7.4246         7.3414         
845            9.32             7.728          7.4697         
846            9.276            7.9986         7.8186         
847            8.364            8.1075         8.1258         
848            8.811            8.2702         8.242          
849            6.832            8.118          8.4203         
850            6.495            7.9221         8.231          
851            7.331            7.8636         7.9938         
852            8.574            7.9944         7.9199         
853            8.894            8.1609         8.0675         
854            7.919            8.1646         8.2553         
855            6.066            7.9232         8.1804         
856            9.405            8.1374         7.9612         
857            9.48             8.3541         8.2161         
858            8.814            8.4644         8.4623         
859            7.29             8.3496         8.5819         
860            7.602            8.2809         8.4381         
861            9.563            8.4957         8.3505         
862            9.449            8.6772         8.5953         
863            9.613            8.8665         8.7988         
864            10.185           9.1223         9.0095         
865            9.881            9.3089         9.2959         
866            9.111            9.3603         9.499          
867            7.302            9.1748         9.5432         
868            7.897            9.0411         9.3122         
869            9.885            9.1817         9.0929         
870            9.885            9.3235         9.2844         
871            11.04            9.5672         9.3761         
872            10.967           9.7298         9.5724         
873            8.644            9.6291         9.7596         
874            8.644            9.5366         9.6321         
875            8.605            9.4594         9.5466         
876            8.897            9.4158         9.4637         
877            8.897            9.3777         9.4178         
878            10.012           9.4626         9.4564         
879            12.313           9.5328         9.4709         
880            12.313           9.6026         9.5366         
881            12.426           9.6988         9.6587         
882            6.617            9.6621         9.7228         
883            9.766            9.7391         9.8116         
884            9.69             9.8137         9.9119         
885            9.591            9.8695         9.9842         
886            7.532            9.8017         10.0342        
887            7.833            9.6541         9.937          
888            9.758            9.7078         9.7476         
889            10.217           9.8146         9.8027         
890            10.599           9.9655         9.9205         
891            10.07            10.0333        10.0894        
892            10.445           10.1453        10.1583        
893            10.204           10.1735        10.1926        
894            9.541            10.2463        10.6641        
895            10.501           10.3373        10.3528        
896            10.501           10.4129        10.4498        
897            10.372           10.4535        10.5284        
898            10.624           10.5292        10.5663        
899            9.924            10.4779        10.6449        
900            8.199            10.2531        10.5768        
901            8.199            9.9695         10.3096        
902            8.199            9.6937         9.9778         
903            8.199            9.4462         9.6585         
904            8.199            9.224          9.3751         
905            9.944            9.2915         9.1236         
906            10.261           9.404          9.2097         
907            10.16            9.4938         9.3465         
908            8.859            9.3818         9.4553         
909            9.621            9.3951         9.3284         
910            11.203           9.6466         9.3481         
911            11.634           9.9437         9.644          
912            12.235           10.2261        9.9894         
913            13.072           10.45          10.314         
914            13.039           10.7442        10.5671        
915            12.05            11.02          10.8995        
916            12.642           11.3572        11.2073        
917            13.502           11.7842        11.5837        
918            15.011           12.0685        12.061         
919            15.537           12.3457        12.3687        
920            15.217           12.6414        12.5133        
921            15.223           12.9732        12.8105        
922            16.116           13.3472        13.3666        
923            15.741           13.8778        13.7686        
924            15.609           14.3635        14.3496        
925            14.339           14.5732        14.8745        
926            15.426           14.9216        15.077         
927            16.447           15.3814        15.4406        
928            16.623           15.8078        15.9319        
929            17.038           16.241         16.3822        
930            16.854           16.5881        16.8386        
931            16.969           16.9027        17.1933        
932            16.582           17.0701        17.4081        
933            17.116           17.8331        18.9501        
934            16.57            17.8254        18.3988        
935            16.921           17.8761        18.346         
936            17.464           18.0064        18.3645        
937            16.804           17.9998        18.4772        
938            16.954           18.0093        18.4334        
939            15.566           17.9885        18.4109        
940            16.971           17.9751        18.3557        
941            18.214           18.1548        18.3117        
942            18.638           18.3736        18.4931        
943            19.268           18.6543        18.7086        
944            20.031           19.0263        19.03          
945            19.481           19.2626        19.4195        
946            19.852           19.5219        19.6621        
947            18.743           19.5768        19.9309        
948            19.853           19.782         19.9617        
949            21.866           20.2615        20.169         
950            22.237           20.7438        20.6948        
951            22.703           21.2417        21.2202        
952            24.134           21.7055        21.7602        
953            24.62            22.1948        22.2574        
954            25.205           22.6974        22.7813        
955            24.254           23.2141        23.3178        
956            25.573           23.8667        23.8676        
957            25.573           24.1057        23.8667        
958            26.938           24.6902        24.8497        
959            26.877           25.3409        25.4686        
960            28.036           25.6696        25.6282        
961            25.988           25.9518        26.2228        
962            25.659           25.9404        26.0047        
963            28.26            26.5706        26.7336        
964            27.167           27.0323        27.4554        
965            26.967           27.4103        27.9204        
966            25.431           27.6451        28.287         
967            26.839           27.8952        28.4869        
968            27.718           28.2188        28.7079        
969            27.278           28.4253        29.0174        
970            27.438           28.6087        29.1911        
971            29.663           29.076         29.3409        
972            27.849           29.2133        29.8251        
973            27.517           29.2779        29.9229        
974            25.668           29.565         29.9392        
975            27.411           29.6274        30.2191        
976            28.18            29.636         30.2383        
977            28.05            29.6076        30.199         
978            28.049           29.5685        30.121         
979            29.646           29.7767        30.0348        
980            28.18            29.7186        30.239         
981            27.628           29.658         30.135         
982            26.634           29.7156        30.0318        
983            27.987           29.5717        30.0688        
984            28.537           29.5278        29.8743        
985            28.104           29.4118        29.7997        
986            28.104           29.5534        31.037         
987            28.104           29.2191        29.6935        
988            28.104           28.9916        29.3046        
989            28.104           28.824         29.0409        
990            28.104           28.6934        28.8473        
991            28.104           28.5875        28.6973        
992            28.104           28.4991        28.5765        
993            28.104           28.4272        28.4809        
994            28.104           28.378         28.4207        
995            30.148           28.614         28.3396        
996            29.993           28.8104        28.6139        
997            29.978           28.99          28.8406        
998            31.707           29.2013        29.0462        
999            30.007           29.3585        29.2869        
1000           29.112           29.3658        29.4626        
1001           28.677           29.3034        29.4625        
1002           29.863           29.421         29.3821        
1003           30.253           29.5852        29.5125        
1004           30.557           29.779         29.6962        
1005           30.225           29.9032        29.9128        
1006           32.137           30.2536        30.0464        
1007           30.211           30.3273        30.4428        
1008           29.998           30.3561        30.5132        
1009           29.54            30.3065        30.5314        
1010           31.012           30.4784        30.4592        
1011           30.592           30.567         30.6468        
1012           30.852           30.682         30.7362        
1013           30.63            30.748         30.8561        
1014           31.999           31.0098        30.9186        
1015           30.303           31.0522        31.4087        
1016           31.847           31.2861        31.2802        
1017           31.422           31.5198        31.806         
1018           31.825           31.6561        31.709         
1019           32.243           31.8453        31.8516        
1020           31.234           31.8221        32.0546        
1021           30.857           31.7349        32.0122        
1022           29.945           31.5043        31.8975        
1023           31.563           31.5622        31.6197        
1024           31.64            31.6231        31.6776        
1025           31.641           31.6748        31.739         
1026           31.717           31.7299        31.7897        
1027           32.503           31.897         31.8444        
1028           31.663           31.9172        32.0289        
1029           30.868           31.811         32.0418        
1030           30.272           31.6198        31.9086        
1031           31.828           31.6763        31.6789        
1032           31.912           31.7345        31.7312        
1033           31.912           31.7761        31.7736        
1034           37.335           32.1625        32.4649        
1035           33.929           32.892         32.24          
1036           32.03            32.7856        34.211         
1037           32.294           32.6363        32.8698        
1038           31.732           32.4014        32.7004        
1039           31.153           32.1137        32.4369        
1040           32.664           32.2314        32.1153        
1041           32.794           32.3464        32.2467        
1042           33.896           32.6366        32.3747        
1043           32.855           32.6979        32.6953        
1044           35.613           32.8559        32.7034        
1045           34.478           33.1401        32.9451        
1046           32.795           33.1409        33.2635        
1047           31.538           32.9518        33.2553        
1048           31.364           32.7492        33.0279        
1049           32.776           32.7693        32.787         
1050           32.994           32.8188        32.8072        
1051           33.44            32.9299        32.8618        
1052           33.526           33.044         32.9878        
1053           34.443           33.2857        33.1162        
1054           33.002           33.288         33.3925        
1055           31.969           33.1291        33.3862        
1056           31.669           32.9333        33.1924        
1057           33.015           32.9564        32.9584        
1058           33.258           33.0139        32.9833        
1059           35.808           33.1662        33.0147        
1060           33.155           33.1896        33.2244        
1061           33.131           33.2063        33.2482        
1062           33.628           33.2916        33.2627        
1063           32.889           33.2608        33.3576        
1064           32.158           33.1217        33.3162        
1065           32.122           32.9851        33.1493        
1066           33.219           33.021         32.9876        
1067           33.945           33.1628        33.0293        
1068           32.612           33.093         33.1863        
1069           35.712           33.2673        33.0973        
1070           33.493           33.3184        33.3133        
1071           33.998           33.4357        33.3691        
1072           33.023           33.4052        33.5017        
1073           32.263           33.2645        33.4607        
1074           32.025           33.096         33.2919        
1075           33.352           33.1323        33.0931        
1076           33.801           33.2323        33.1356        
1077           32.992           33.2023        33.2368        
1078           33.387           33.2313        33.2133        
1079           33.01            33.2095        33.2496        
1080           32.375           33.1074        33.2143        
1081           32.375           33.0218        33.106         
1082           34.495           33.4622        32.8457        
1083           32.536           33.2228        33.516         
1084           32.421           33.0355        33.2407        
1085           33.577           33.1496        33.0273        
1086           34.046           33.3307        33.1572        
1087           32.541           33.1981        33.3534        
1088           33.569           33.2555        33.199         
1089           34.423           33.4165        33.2594        
1090           33.218           33.4075        33.458         
1091           32.174           33.2595        33.4137        
1092           34.882           33.7781        33.3812        
1093           34.924           34.0974        33.8585        
1094           36.655           34.5474        34.2168        
1095           34.679           34.6436        34.7211        
1096           33.793           34.5488        34.8187        
1097           34.144           34.5358        34.6983        
1098           36.026           34.8521        34.6729        
1099           35.766           35.0774        35.0249        
1100           35.876           35.2528        35.1988        
1101           37.574           35.5304        35.3308        
1102           35.659           35.6541        35.7763        
1103           37.124           35.9695        35.9002        
1104           35.901           36.078         36.2458        
1105           33.936           35.968         36.3496        
1106           34.233           35.8126        36.1997        
1107           36.437           35.9844        35.9998        
1108           36.281           36.1136        36.1845        
1109           35.731           36.1425        36.3148        
1110           35.731           36.0907        36.146         
1111           36.514           36.2268        36.2749        
1112           37.149           36.4348        36.4183        
1113           35.617           36.4121        36.6453        
1114           34.333           36.2522        36.6009        
1115           34.893           36.1192        36.3979        
1116           37.29            36.3369        36.2301        
1117           36.248           36.3828        36.4751        
1118           36.493           36.4564        36.5172        
1119           36.875           36.5763        36.5918        
1120           37.648           36.7979        36.7205        
1121           35.729           36.7093        36.9668        
1122           34.722           36.4868        36.8496        
1123           34.759           36.2656        36.5789        
1124           37.554           36.4803        36.3138        
1125           36.635           36.5374        36.5598        
1126           37.188           36.645         36.5758        
1127           36.521           36.6889        36.7933        
1128           37.652           36.8499        36.7419        
1129           36.133           36.8981        37.4672        
1130           35.941           36.7071        36.9339        
1131           37.753           36.904         36.7205        
1132           44.272           36.948         36.992         
1133           37.439           37.0763        37.0202        
1134           35.891           36.8857        37.1619        
1135           34.65            36.5824        36.9373        
1136           35.262           36.3539        36.5855        
1137           37.336           36.5061        36.3231        
1138           36.417           36.4891        36.5002        
1139           37.003           36.5641        36.4854        
1140           36.646           36.5764        36.5661        
1141           37.026           36.6416        36.5818        
1142           37.132           36.7173        36.6569        
1143           36.001           36.6268        36.7434        
1144           34.545           36.3596        36.6362        
1145           35.659           36.2548        36.3385        
1146           37.07            36.3444        36.1841        
1147           40.637           36.3477        36.3146        
1148           38.693           36.599         36.338         
1149           38.07            36.8216        36.6089        
1150           39.482           37.0338        36.8617        
1151           35.985           36.8766        37.8023        
1152           35.79            36.5543        36.8893        
1153           34.645           36.0572        36.525         
1154           35.317           35.8559        35.9665        
1155           37.433           36.1327        35.7451        
1156           36.574           36.1719        35.9978        
1157           37.163           36.3427        36.1412        
1158           36.625           36.3702        36.1364        
1159           35.004           36.0187        36.3686        
1160           35.004           35.7739        35.9708        
1161           35.004           35.5839        35.6888        
1162           35.004           35.4322        35.4792        
1163           35.004           35.3076        35.3141        
1164           35.004           35.2032        35.1803        
1165           35.004           35.1149        35.0701        
1166           35.004           34.9832        34.8424        
1167           35.004           34.9309        34.8477        
1168           35.004           34.8878        34.7977        
1169           35.004           34.8528        34.7583        
1170           35.004           34.8248        34.7279        
1171           35.004           34.803         34.7052        
1172           35.004           34.7867        34.6894        
1173           35.107           34.7912        34.6795        
1174           36.654           35.0376        34.6934        
1175           36.869           35.2979        34.9874        
1176           37.2             35.5874        35.2938        
1177           36.171           35.6949        35.6307        
1178           35.13            35.6331        35.7522        
1179           35.577           35.6426        35.6756        
1180           36.826           35.8397        35.6832        
1181           36.265           35.9337        35.9092        
1182           36.652           36.0763        36.013         
1183           37.189           36.2858        36.1724        
1184           37.34            36.4975        36.4083        
1185           35.78            36.4512        36.6446        
1186           33.322           36.3899        36.5788        
1187           35.933           36.3599        36.4969        
1188           37.123           36.5222        36.4534        
1189           36.33            36.5387        36.6344        
1190           39.669           36.6581        36.5433        
1191           36.471           36.681         36.7774        
1192           36.775           36.7455        36.7997        
1193           36.853           36.8124        36.865         
1194           35.63            36.6872        36.9331        
1195           33.625           36.5985        36.7777        
1196           36.204           36.564         36.6673        
1197           37.121           36.6767        36.6216        
1198           36.256           36.6405        36.7478        
1199           36.636           36.6649        36.7001        
1200           37.232           36.7776        36.7237        
1201           37.271           36.884         36.8497        
1202           35.861           36.7627        36.9675        
1203           34.852           36.4955        36.8199        
1204           36.019           36.4271        36.5051        
1205           37.313           36.5605        36.4248        
1206           37.546           36.9453        36.7159        
1207           35.579           36.5862        37.0062        
1208           35.489           36.3247        36.5954        
1209           36.181           36.2835        36.2989        
1210           37.155           36.4401        36.2735        
1211           36.673           36.4784        36.4267        
1212           35.092           36.2316        36.4765        
1213           38.114           36.5362        36.1952        
1214           38.474           36.8227        36.5375        
1215           38.4             37.3449        37.122         
1216           36.648           37.2238        37.4495        
1217           36.648           37.1242        37.2593        
1218           36.648           37.1051        37.6302        
1219           39.757           37.7733        37.1631        
1220           38.116           37.9061        37.8807        
1221           36.591           37.64          38.0232        
1222           36.183           37.3623        37.7168        
1223           37.824           37.4666        37.399         
1224           38.894           37.7449        37.5145        
1225           38.093           37.8357        37.8208        
1226           37.316           37.7898        37.9321        
1227           39.122           38.0361        37.8658        
1228           38.112           38.093         38.1428        
1229           36.255           37.8532        38.2003        
1230           36.298           37.6406        37.9151        
1231           37.377           37.6103        37.664         
1232           38.746           37.79          37.627         
1233           38.561           37.9258        37.8345        
1234           37.471           37.8836        37.9888        
1235           38.956           38.0678        37.9345        
1236           38.049           38.0976        38.1449        
1237           36.335           37.8621        38.1732        
1238           36.038           37.5978        37.8925        
1239           37.809           37.6232        37.5821        
1240           38.924           37.8167        37.613         
1241           38.758           37.9694        37.8392        
1242           36.736           37.8013        38.0152        
1243           39.045           37.9964        37.8156        
1244           37.952           38.0089        38.0417        
1245           36.197           37.7522        38.0525        
1246           35.988           37.4836        37.7502        
1247           37.82            37.5152        37.4378        
1248           38.875           37.7056        37.4783        
1249           38.786           37.868         37.7028        
1250           36.728           37.7057        37.8919        
1251           40.13            37.9408        37.7012        
1252           37.841           37.9399        37.9749        
1253           37.841           37.9292        37.9468        
1254           39.051           38.2392        38.0677        
1255           37.049           38.0149        38.3051        
1256           38.464           38.114         38.042         
1257           37.826           38.0768        38.1539        
1258           36.145           37.7472        38.1082        
1259           36.074           37.4533        37.7272        
1260           37.562           37.4452        37.3907        
1261           38.611           37.6088        37.3861        
1262           38.347           37.7133        37.5791        
1263           37.109           37.6142        37.7019        
1264           39.253           37.8561        37.5884        
1265           37.866           37.8636        37.8702        
1266           36.286           37.6297        37.8777        
1267           35.964           37.3674        37.6056        
1268           37.878           37.4172        37.3031        
1269           38.774           37.5999        37.3661        
1270           38.341           37.7041        37.5825        
1271           36.861           37.5776        37.705         
1272           39.155           37.8066        37.5579        
1273           38.137           37.8645        37.8258        
1274           36.25            37.6329        37.8916        
1275           37.048           37.5437        37.6232        
1276           34.926           37.1186        37.4319        
1277           46.098           37.1154        37.1123        
1278           39.415           37.4671        37.0315        
1279           37.969           37.5581        37.4429        
1280           36.106           37.2801        37.5494        
1281           36.172           37.0605        37.2306        
1282           37.847           37.1639        36.9818        
1283           38.572           37.3756        37.1066        
1284           38.088           37.4828        37.3545        
1285           36.976           37.4006        37.4796        
1286           38.854           37.6221        37.3851        
1287           37.92            37.6767        37.6421        
1288           36.145           37.4531        37.7036        
1289           36.396           37.2875        37.4426        
1290           38.193           37.4096        37.2517        
1291           38.571           37.5794        37.3961        
1292           38.218           37.682         37.5943        
1293           37.427           37.6565        37.7123        
1294           38.981           37.8659        37.6801        
1295           37.929           37.8991        37.9217        
1296           36.026           37.6412        37.9558        
1297           36.573           37.4846        37.6511        
1298           38.465           37.6253        37.4681        
1299           38.655           37.7838        37.6331        
1300           38.218           37.8633        37.8169        
1301           37.233           37.7867        37.9068        
1302           38.624           37.9246        37.8141        
1303           38.151           37.979         37.9723        
1304           35.879           37.7221        38.0317        
1305           36.64            37.5612        37.7285        
1306           38.43            37.6838        37.5409        
1307           38.778           37.8496        37.6851        
1308           37.787           37.8521        37.8778        
1309           38.116           37.9031        37.8785        
1310           39.157           38.106         37.9356        
1311           38.139           38.1377        38.169         
1312           35.793           37.9249        38.2007        
1313           36.695           37.7466        37.9481        
1314           38.581           37.8706        37.7389        
1315           39.109           38.0646        37.8836        
1316           37.228           37.956         38.108         
1317           37.93            37.9615        37.9783        
1318           39.018           38.1305        37.9829        
1319           38.199           38.1608        38.1776        
1320           36.057           37.9016        38.209         
1321           36.772           37.7318        37.9038        
1322           38.614           37.8541        37.7062        
1323           39.183           38.0531        37.8505        
1324           37.447           37.974         38.0821        
1325           36.692           37.7945        37.9825        
1326           36.927           37.6773        37.7883        
1327           38.749           37.8066        37.6425        
1328           37.517           37.7623        37.796         
1329           35.891           37.494         37.7452        
1330           36.949           37.391         37.4337        
1331           38.818           37.5644        37.3185        
1332           39.117           37.7732        37.5269        
1333           37.701           37.7628        37.7736        
1334           37.995           37.7964        37.7615        
1335           38.971           37.9722        37.8008        
1336           37.629           37.9352        38.0053        
1337           36.042           37.663         37.9595        
1338           37.014           37.5563        37.6404        
1339           38.606           37.6974        37.518         
1340           38.8             37.8579        37.6854        
1341           37.23            37.77          37.8732        
1342           36.976           37.6505        37.7697        
1343           38.468           37.765         37.6306        
1344           37.322           37.6986        37.7655        
1345           35.92            37.4265        37.6882        
1346           37.228           37.3738        37.3727        
1347           38.54            37.5246        37.3157        
1348           38.833           37.7092        37.4958        
1349           37.304           37.6498        37.7128        
1350           36.268           37.4493        37.6455        
1351           37.003           37.3851        37.4367        
1352           37.617           37.3954        37.3369        
1353           36.949           37.316         37.3529        
1354           35.633           37.0593        37.2638        
1355           37.274           37.0508        36.9688        
1356           38.849           37.2718        36.9663        
1357           38.677           37.4577        37.2313        
1358           37.327           37.436         37.4516        
1359           37.178           37.3942        37.4268        
1360           37.04            37.3352        37.3788        
1361           36.957           37.2689        37.3113        
1362           35.937           37.0562        37.236         
1363           37.248           37.0572        36.991         
1364           38.227           37.2071        36.9975        
1365           38.261           37.3525        37.1769        
1366           36.407           37.209         37.3486        
1367           35.156           36.4447        36.9926        
1368           35.668           36.1866        36.3287        
1369           36.157           36.1254        36.044         
1370           35.716           35.9816        35.9841        
1371           35.906           35.9061        35.8306        
1372           35.906           35.8445        35.7551        
1373           35.906           35.8031        35.719         
1374           35.906           35.8087        35.78          
1375           36.773           35.8892        35.6649        
1376           38.606           36.0026        35.7676        
1377           37.392           36.173         35.9071        
1378           36.363           36.1752        36.1109        
1379           35.997           36.1243        36.1184        
1380           37.088           36.2427        36.0639        
1381           38.094           36.5037        36.2061        
1382           38.041           36.7373        36.5124        
1383           37.186           36.8241        36.7833        
1384           38.609           37.1159        36.8805        
1385           37.208           37.1721        37.2157        
1386           36.212           37.0704        37.273         
1387           35.942           36.9324        37.1462        
1388           37.234           36.9978        36.9791        
1389           38.039           37.178         37.0515        
1390           38.17            37.3616        37.2569        
1391           37.186           37.3786        37.4642        
1392           38.852           37.6428        37.4756        
1393           37.086           37.6147        37.7752        
1394           36.399           37.4803        37.7316        
1395           36.005           37.2933        37.5657        
1396           37.46            37.3388        37.3412        
1397           38.087           37.4737        37.3902        
1398           38.065           37.5925        37.5429        
1399           37.031           37.5429        37.6754        
1400           36.968           37.485         37.6109        
1401           36.664           37.3837        37.5381        
1402           36.369           37.2443        37.4159        
1403           35.683           37.0119        37.2513        
1404           37.383           37.0545        36.9805        
1405           38.36            37.2418        37.0325        
1406           38.527           37.4398        37.2522        
1407           36.739           37.352         37.4815        
1408           37.85            37.4371        37.376         
1409           36.887           37.3696        37.4731        
1410           36.035           37.1781        37.3916        
1411           35.605           36.9367        37.1671        
1412           37.169           36.9507        36.8873        
1413           37.549           37.0224        36.9076        
1414           38.704           37.2636        36.9945        
1415           36.637           37.1751        37.2772        
1416           37.105           37.1638        37.1732        
1417           36.261           37.0264        37.1602        
1418           34.969           36.7188        37.0008        
1419           35.069           36.4392        36.6452        
1420           36.534           36.4054        36.3261        
1421           37.853           36.5768        36.296         
1422           38.488           36.8335        36.5041        
1423           36.563           36.7822        36.8086        
1424           36.79            36.7701        36.751         
1425           36.752           36.7556        36.7423        
1426           37.665           36.8735        36.7527        
1427           35.634           36.7028        36.8622        
1428           35.758           36.5573        36.6643        
1429           37.424           36.652         36.4979        
1430           37.914           36.8131        36.6132        
1431           37.976           36.9754        36.8045        
1432           36.633           36.9342        36.9946        
1433           38.201           37.1234        36.945         
1434           37.056           37.1312        37.1648        
1435           35.903           36.9664        37.1704        
1436           35.529           36.7566        36.975         
1437           37.325           36.83          36.7298        
1438           38.17            37.0251        36.8175        
1439           37.99            37.1785        37.0457        
1440           36.671           37.1211        37.2226        
1441           38.546           37.3484        37.1522        
1442           37.848           37.4515        37.4142        
1443           36.384           37.3237        37.5287        
1444           35.972           37.1416        37.3738        
1445           37.517           37.2051        37.158         
1446           38.383           37.393         37.2304        
1447           38.044           37.5139        37.4469        
1448           37.567           37.5512        37.583         
1449           38.338           37.6991        37.6209        
1450           38.01            37.7833        37.7872        
1451           36.389           37.6138        37.8778        
1452           35.53            37.3592        37.6731        

