测点名称    
J7point(N)

位置初始值(mm)
0.0338  
速度初始值(mm/d)
0       

观测噪声协方差(mm^2)  状态噪声协方差(mm^2)
3.404                   0.308   

状态模型    
常速度模型   

滤波方法    
抗差Kalman滤波

监测期号    原始坐标序列(mm)    滤波值(mm)    预测值(mm) 
169            -0.252           -1.2647        -1.5886        
170            0.178            -1.0308        -1.2695        
171            -0.791           -1.1765        -1.6647        
172            0.024            -0.8891        -1.2444        
173            -0.163           -0.732         -0.9138        
174            0.026            -0.5752        -0.734         
175            0.356            -0.3881        -0.5558        
176            0.145            -0.2737        -0.3444        
177            -0.987           -0.3734        -0.217         
178            -0.855           -0.4375        -0.335         
179            -1.073           -0.5292        -0.4113        
180            -0.213           -0.4747        -0.5186        
181            0.4              -0.3309        -0.4567        
182            -0.345           -0.3166        -0.2919        
183            -5.596           -0.1608        0.101          
184            -3.367           -0.9973        -0.1595        
185            -1.916           -1.3412        -1.0683        
186            -0.048           -1.0146        -1.4492        
187            0.025            -0.787         -1.077         
188            0.788            -0.4611        -0.818         
189            -0.219           -0.4091        -0.4497        
190            1.135            -0.1371        -0.3997        
191            -2.905           -0.8692        0.5023         
192            1.934            -0.2481        -0.883         
193            -0.311           -0.2649        -0.2448        
194            1.398            0.1391         -0.2636        
195            -0.548           0.0107         0.1879         
196            0.227            0.0811         0.071          
197            0.1              0.0991         0.1165         
198            -1.152           -0.1176        0.1345         
199            -0.878           -0.2493        -0.1142        
200            -0.159           -0.2406        -0.2648        
201            0.447            -0.1339        -0.2536        
202            -0.237           -0.1487        -0.1301        
203            1.097            0.0473         -0.1474        
204            -0.074           0.0419         0.0791         
205            -0.195           0.0138         0.0559         
206            -1.057           -0.1257        0.0253         
207            -1.073           -0.2559        -0.1264        
208            -1.314           -0.413         -0.2781        
209            -1.014           -0.5182        -0.4597        
210            0.253            -0.4333        -0.5787        
211            -0.552           -0.468         -0.4742        
212            0.947            -0.2784        -0.5114        
213            0.042            -0.234         -0.2859        
214            -1.344           -0.3997        -0.2335        
215            -0.638           -0.4471        -0.4271        
216            -0.938           -0.5352        -0.4802        
217            -0.396           -0.5333        -0.5802        
218            0.399            -0.4093        -0.5742        
219            -0.706           -0.4615        -0.4263        
220            0.496            -0.3292        -0.479         
221            -1.398           -0.5172        -0.3314        
222            -1.358           -0.6737        -0.5485        
223            -0.789           -0.7153        -0.7275        
224            -0.202           -0.6549        -0.7715        
225            0.07             -0.5559        -0.697         
226            -0.85            -0.6123        -0.579         
227            0.473            -0.4549        -0.6425        
228            -0.462           -0.4572        -0.4578        
229            -0.747           -0.5031        -0.4602        
230            -2.079           -0.7486        -0.5132        
231            -1.699           -0.9138        -0.7971        
232            -0.908           -0.9431        -0.9849        
233            -1.035           -0.9622        -0.9584        
234            -2.401           -1.5435        -1.45          
235            -0.753           -1.3948        -1.6642        
236            0.132            -1.0934        -1.4858        
237            -0.608           -1.012         -1.1358        
238            0.6              -0.7186        -1.04          
239            -0.72            -0.7125        -0.7031        
240            -0.107           -0.6024        -0.6972        
241            -1.364           -0.7159        -0.5723        
242            -0.039           -0.6022        -0.7047        
243            -1.025           -0.6573        -0.5748        
244            0.334            -0.4963        -0.6404        
245            -0.055           -0.4114        -0.4558        
246            0.591            -0.2373        -0.3608        
247            0.017            -0.1673        -0.1632        
248            -0.048           -0.1156        -0.088         
249            -0.77            -0.1798        -0.0344        
250            -0.3             -0.1706        -0.1155        
251            -0.448           -0.1866        -0.11          
252            0.494            -0.0616        -0.1336        
