1,,472023.502,3831702.467,136.490
2,,471988.953,3831679.064,137.290
3,,471943.934,3831698.491,138.820
4,,471902.020,3831672.678,139.110
5,,471903.563,3831666.001,137.720
6,,471789.002,3831805.751,139.890
7,,471805.479,3831741.906,139.970
8,,471791.946,3831792.745,139.770
9,,471775.609,3831808.151,140.390
10,,471790.440,3831598.506,141.500
11,,472031.446,3831732.412,136.392
12,,472031.340,3831717.084,136.303
13,,472035.177,3831715.438,133.092
14,,471681.683,3831800.557,141.414
15,,471669.563,3831806.211,141.512
16,,471658.458,3831794.176,141.806
17,,471656.491,3831783.755,141.868
18,,471675.564,3831752.653,131.925
19,,471679.626,3831751.293,135.340
20,,471693.139,3831730.472,133.702
21,,471697.735,3831694.552,135.039
22,,471694.952,3831688.378,139.838
23,,471787.896,3831715.643,139.450
24,,471791.161,3831712.479,137.413
25,,471792.704,3831705.847,137.095
26,,471808.530,3831682.002,131.934
27,,471813.269,3831690.134,134.133
28,,471806.240,3831690.191,135.000
29,,471807.348,3831698.282,134.456
30,,471819.087,3831709.961,134.518
31,,471835.613,3831711.166,133.297
32,,471843.749,3831717.242,132.288
33,,471842.463,3831711.109,133.383
34,,471839.400,3831703.760,133.370
35,,471832.892,3831701.048,133.121
36,,471844.293,3831797.841,125.175
37,,471856.883,3831755.258,139.109
38,,471857.934,3831749.050,139.692
39,,471861.045,3831736.819,140.183
40,,471863.685,3831723.725,140.499
41,,471863.959,3831712.068,138.217
42,,471869.834,3831709.142,140.365
43,,471870.664,3831701.421,140.115
44,,471864.315,3831701.881,136.928
45,,471864.049,3831692.887,136.160
46,,471867.138,3831688.739,138.191
47,,471862.681,3831682.358,137.976
48,,471863.502,3831680.355,139.582
49,,471870.738,3831684.771,139.496
50,,471976.454,3831609.100,135.115
51,,472031.330,3831622.510,135.030
52,,472029.020,3831645.270,134.440
53,,471896.410,3831609.190,128.140
54,,471900.490,3831593.780,133.350
55,,471917.070,3831557.670,127.160
56,,471926.130,3831538.050,129.320
57,,471908.749,3831536.649,128.780
58,,471859.800,3831632.290,133.000
59,,471812.243,3831610.756,141.230
60,,471931.646,3831586.894,127.420
61,,471938.570,3831606.710,127.440
62,,471965.130,3831601.050,129.210
63,,472024.330,3831579.760,138.670
64,,471995.030,3831572.720,138.790
65,,471982.620,3831605.700,139.250
66,,471995.680,3831614.420,132.330
67,,472002.860,3831626.930,132.190
68,,471792.910,3831630.390,139.060
69,,471833.830,3831644.790,137.900
70,,471847.520,3831629.870,131.160
71,,471875.670,3831565.750,130.480
72,,471866.376,3831578.268,139.830
73,,471920.730,3831633.830,133.630
74,,471910.790,3831622.410,130.970
75,,471918.550,3831568.920,126.980
76,,471942.207,3831577.139,127.740
77,,471952.070,3831582.170,133.800
78,,471967.336,3831546.199,135.980
79,,471955.939,3831560.072,131.840
80,,471935.810,3831559.320,127.540
81,,471922.830,3831645.080,136.740
82,,471939.567,3831630.464,129.490
83,,471934.870,3831643.600,136.110
84,,471970.320,3831643.670,134.660
85,,472011.620,3831641.990,133.330
