1,3778.594,2885.732,9.468
2,3777.054,2886.272,9.672
3,3773.103,2888.487,9.533
4,3769.522,2890.732,9.546
5,3766.087,2892.923,9.669
6,3763.390,2895.773,9.794
7,3762.060,2898.991,9.996
8,3760.272,2902.444,10.182
9,3759.293,2906.144,10.081
10,3758.354,2909.834,10.119
11,3758.296,2913.009,10.138
12,3757.739,2915.886,10.226
13,3758.338,2918.692,10.244
14,3759.175,2919.900,10.886
15,3760.633,2921.138,10.982
16,3761.182,2922.615,10.682
17,3762.056,2923.660,10.599
18,3763.136,2924.944,10.157
19,3765.440,2925.610,10.079
20,3767.943,2925.457,10.460
21,3770.899,2926.411,10.235
22,3774.358,2927.397,10.070
23,3777.081,2928.302,10.034
24,3779.228,2928.113,9.616
25,3782.205,2927.480,9.804
26,3782.567,2927.718,10.169
27,3784.604,2927.451,9.804
28,3786.576,2928.228,9.472
29,3789.161,2928.771,9.612
30,3791.270,2929.486,9.622
31,3793.153,2929.106,9.612
32,3795.027,2928.852,9.910
33,3797.203,2927.951,9.975
34,3799.739,2927.053,10.060
35,3802.405,2927.305,9.353
36,3805.254,2927.180,9.777
37,3806.864,2928.345,9.614
38,3809.388,2928.353,9.284
39,3810.016,2926.977,9.309
40,3811.073,2926.073,9.420
41,3812.363,2925.532,9.903
42,3813.350,2925.908,10.247
43,3814.905,2925.745,9.860
44,3817.270,2925.519,10.129
45,3818.429,2924.395,10.966
46,3818.765,2925.197,11.301
47,3819.190,2924.484,11.384
48,3820.668,2924.249,11.474
49,3823.030,2923.527,11.157
50,3826.235,2922.557,10.933
51,3829.613,2919.409,11.293
52,3832.243,2915.256,10.940
53,3832.537,2911.361,10.912
54,3830.266,2910.102,11.142
55,3830.895,2907.862,10.217
56,3829.073,2906.213,10.226
57,3827.358,2903.406,10.590
58,3830.055,2901.110,9.239
59,3831.001,2898.301,9.079
60,3831.731,2893.859,8.855
61,3828.766,2892.006,9.044
62,3825.582,2890.233,9.113
63,3822.258,2888.541,9.095
64,3818.708,2889.221,9.077
65,3815.296,2890.342,9.343
66,3813.192,2890.272,9.194
67,3810.832,2890.661,9.290
68,3801.634,2890.923,9.391
69,3802.221,2887.983,9.124
70,3800.888,2881.771,9.174
71,3796.394,2878.610,9.470
72,3792.066,2875.893,9.567
73,3786.659,2876.201,9.780
74,3781.442,2877.122,9.534
75,3777.909,2880.248,9.524
76,3779.538,2884.885,9.547
77,3787.202,2884.628,11.792
78,3788.248,2892.306,15.177
79,3784.449,2893.717,16.808
80,3782.319,2898.097,17.090
81,3817.825,2874.729,9.767
82,3822.547,2874.623,9.925
83,3826.094,2873.631,10.234
84,3830.330,2873.072,10.444
85,3835.380,2870.698,10.190
86,3838.037,2866.562,10.266
87,3836.929,2861.121,10.257
88,3835.008,2857.235,10.589
89,3832.075,2855.926,9.759
90,3828.797,2857.354,9.813
91,3824.011,2857.301,9.985
92,3818.870,2858.938,9.812
93,3814.973,2860.992,9.714
94,3813.082,2865.158,9.838
95,3814.884,2868.448,9.482
96,3818.233,2868.723,9.690
97,3818.132,2872.296,9.613
98,3823.918,2864.757,14.351
99,3828.113,2864.528,14.402
100,3831.437,2864.097,14.635