APPROX_POSITION£º  -2279828.8823,   5004706.5099,   3219777.4476  (m)
PRN,s:, Satposition(X),   Satposition(Y),   Satposition(Z),      Sat Clock(m),   Elevation(¡ã),             CL(m),       Trop Delay(m)
Satellite Number:  9,  GPS time£º  91290
G02,    10268952.7599 ,   20661892.1870 ,   13833857.1313 ,      140433.9285 ,        35.5030 ,    22559328.8671 ,       3.9618 
Satellite Number:  10,  GPS time£º  91410
G13,   -25973097.2151 ,    4910310.3448 ,    3165803.9447 ,       14191.0139 ,        20.6619 ,    23679304.3201 ,       6.4800 
G12,    12032111.5306 ,   10993203.8693 ,   20971719.8371 ,       52656.3992 ,        21.3874 ,    23523319.3051 ,       6.2739 
G05,     3563078.1774 ,   24309876.3263 ,   -9925358.0677 ,     -118312.6782 ,        15.3506 ,    24193718.8441 ,       8.5730 
G23,   -22932236.7964 ,   -1755631.6772 ,   13719903.2082 ,        5744.4112 ,        17.8740 ,    24128788.2421 ,       7.4264 
G17,   -17652943.8080 ,   15272698.3451 ,   12680941.0727 ,      -15738.5453 ,        62.0466 ,    20782954.0941 ,       2.6102 
G04,    -4908765.4753 ,   15462930.0349 ,   20684608.8459 ,        1324.8584 ,        61.3116 ,    20524423.5001 ,       2.6283 
G28,   -12701893.3040 ,   19116422.0717 ,  -12621058.6563 ,       95550.8858 ,        16.5724 ,    23541116.9381 ,       7.9754 
G20,   -14927990.7386 ,   -6929306.2690 ,   20667706.7829 ,       44011.6315 ,         9.3938 ,    24589843.6801 ,      13.5482 
G10,    -9085248.9682 ,   23639713.5889 ,    6908995.4221 ,      -32079.8724 ,        69.5988 ,    20210970.5391 ,       2.4604 
G02,    10224186.5015 ,   20636157.3343 ,   13905018.4766 ,      140433.9574 ,        35.6185 ,    22550272.9921 ,       3.9507 
Satellite Number:  9,   GPS time£º  91440
G13,   -25962554.4006 ,    4900905.2283 ,    3260992.1878 ,       14190.9874 ,        20.7678 ,    23668775.1021 ,       6.4490 
G12,    12015585.6192 ,   11071282.8438 ,   20940782.9169 ,       52656.3811 ,        21.5344 ,    23509977.3441 ,       6.2338 
G05,     3548629.3523 ,   24345838.3999 ,   -9841225.4972 ,     -118312.6331 ,        15.5519 ,    24173282.1641 ,       8.4683 
G23,   -22886234.4575 ,   -1779620.2823 ,   13792744.3903 ,        5744.3595 ,        17.8790 ,    24127998.4771 ,       7.4245 
